iter	Passed	Remaining
0	163	163040
1	166	82936
2	169	56172
3	171	42790
4	174	34811
5	177	29429
6	180	25622
7	183	22764
8	186	20524
9	189	18746
10	191	17257
11	194	16015
12	196	14913
13	198	13973
14	200	13141
15	201	12398
16	203	11745
17	204	11163
18	205	10636
19	207	10159
20	208	9729
21	210	9337
22	211	8977
23	212	8646
24	213	8342
25	215	8061
26	216	7801
27	217	7561
28	219	7335
29	220	7124
30	221	6933
31	223	6749
32	224	6574
33	225	6411
34	226	6257
35	228	6113
36	229	5975
37	230	5846
38	232	5722
39	233	5604
40	234	5494
41	236	5389
42	237	5287
43	238	5190
44	240	5097
45	241	5007
46	242	4921
47	243	4838
48	245	4760
49	246	4684
50	247	4613
51	249	4543
52	250	4476
53	251	4410
54	253	4348
55	254	4287
56	255	4228
57	256	4171
58	258	4116
59	259	4062
60	260	4009
61	261	3960
62	263	3912
63	264	3865
64	265	3819
65	266	3775
66	268	3732
67	268	3683
68	269	3642
69	271	3603
70	272	3565
71	273	3528
72	275	3492
73	276	3463
74	278	3432
75	279	3404
76	281	3377
77	283	3352
78	286	3336
79	287	3311
80	289	3284
81	293	3280
82	295	3268
83	299	3263
84	300	3234
85	303	3225
86	305	3203
87	307	3185
88	309	3165
89	311	3146
90	313	3127
91	314	3105
92	316	3083
93	317	3062
94	319	3045
95	321	3027
96	323	3010
97	325	2991
98	326	2971
99	328	2954
100	329	2936
101	330	2913
102	332	2897
103	334	2884
104	336	2869
105	338	2853
106	340	2837
107	341	2823
108	343	2810
109	345	2794
110	346	2777
111	349	2769
112	351	2757
113	352	2743
114	354	2726
115	355	2709
116	356	2692
117	358	2675
118	359	2657
119	360	2642
120	361	2626
121	363	2616
122	364	2597
123	365	2582
124	366	2567
125	368	2552
126	369	2538
127	370	2521
128	371	2507
129	372	2493
130	373	2480
131	375	2467
132	378	2467
133	380	2458
134	382	2448
135	384	2441
136	386	2433
137	388	2424
138	389	2412
139	391	2402
140	393	2396
141	395	2389
142	397	2382
143	399	2375
144	401	2365
145	402	2354
146	403	2344
147	405	2333
148	406	2321
149	408	2312
150	409	2301
151	410	2290
152	411	2279
153	413	2269
154	414	2258
155	415	2248
156	416	2237
157	418	2228
158	419	2218
159	420	2208
160	421	2198
161	423	2189
162	424	2179
163	425	2170
164	427	2161
165	428	2151
166	429	2142
167	430	2132
168	432	2124
169	433	2115
170	434	2107
171	435	2098
172	437	2089
173	438	2081
174	439	2072
175	440	2064
176	442	2056
177	443	2047
178	444	2039
179	446	2032
180	446	2021
181	448	2013
182	449	2006
183	450	1998
184	451	1990
185	453	1983
186	454	1975
187	455	1967
188	456	1960
189	458	1952
190	459	1945
191	460	1938
192	461	1931
193	463	1924
194	464	1917
195	465	1910
196	466	1903
197	468	1896
198	469	1889
199	470	1882
200	471	1875
201	473	1868
202	474	1863
203	476	1859
204	478	1854
205	479	1848
206	482	1846
207	484	1843
