iter	Passed	Remaining
0	161	161000
1	163	81567
2	165	54984
3	167	41715
4	170	33932
5	172	28496
6	173	24609
7	174	21699
8	176	19425
9	177	17607
10	179	16121
11	180	14877
12	182	13857
13	184	13018
14	186	12241
15	187	11546
16	189	10934
17	190	10384
18	191	9898
19	192	9455
20	194	9062
21	195	8705
22	198	8416
23	199	8131
24	201	7856
25	203	7620
26	204	7384
27	206	7163
28	207	6952
29	209	6759
30	210	6574
31	211	6412
32	214	6285
33	216	6137
34	217	5999
35	218	5864
36	220	5739
37	222	5639
38	224	5521
39	225	5410
40	228	5336
41	229	5245
42	231	5150
43	232	5057
44	234	4970
45	235	4893
46	237	4816
47	239	4740
48	240	4671
49	243	4619
50	244	4551
51	245	4484
52	247	4421
53	248	4359
54	250	4301
55	251	4242
56	253	4186
57	254	4131
58	257	4112
59	259	4062
60	260	4012
61	262	3965
62	263	3920
63	265	3876
64	266	3832
65	267	3789
66	269	3753
67	272	3738
68	274	3703
69	276	3667
70	277	3630
71	278	3592
72	280	3555
73	281	3520
74	283	3490
75	284	3457
76	286	3436
77	288	3411
78	290	3382
79	292	3358
80	293	3329
81	294	3301
82	295	3267
83	297	3241
84	298	3213
85	300	3198
86	302	3177
87	304	3153
88	305	3129
89	306	3104
90	308	3081
91	310	3062
92	311	3040
93	313	3017
94	317	3021
95	318	3000
96	320	2981
97	322	2964
98	323	2945
99	325	2925
100	328	2920
101	332	2923
102	335	2923
103	338	2915
104	342	2919
105	344	2906
106	346	2895
107	349	2883
108	350	2868
109	353	2860
110	356	2854
111	357	2837
112	360	2829
113	362	2816
114	364	2806
115	368	2805
116	370	2793
117	372	2781
118	377	2791
119	381	2800
120	383	2788
121	386	2779
122	388	2773
123	392	2774
124	397	2783
125	399	2769
126	401	2761
127	404	2752
128	408	2758
129	412	2759
130	415	2754
131	417	2743
132	419	2734
133	431	2786
134	433	2777
135	439	2791
136	447	2815
137	450	2816
138	454	2812
139	460	2830
140	463	2822
141	464	2806
142	465	2792
143	467	2777
144	470	2774
145	472	2761
146	474	2752
147	476	2740
148	477	2727
149	479	2716
150	480	2703
151	484	2702
152	486	2693
153	488	2686
154	491	2677
155	492	2666
156	494	2653
157	496	2644
158	498	2637
159	501	2632
160	503	2623
161	504	2611
162	506	2599
163	507	2588
164	509	2578
165	511	2568
166	515	2571
167	517	2561
168	520	2558
169	522	2551
170	524	2543
171	526	2532
172	530	2533
173	532	2525
174	535	2525
175	537	2518
176	539	2509
177	541	2500
178	544	2497
179	546	2489
180	548	2483
181	550	2475
182	552	2465
183	554	2460
184	558	2460
185	560	2452
186	562	2447
187	564	2438
188	566	2431
189	568	2422
190	569	2412
191	572	2410
192	574	2403
193	577	2398
194	580	2394
195	581	2387
196	583	2377
197	585	2372
198	588	2367
199	590	2361
200	592	2354
201	593	2345
202	595	2337
203	596	2328
204	598	2322
205	601	2317
206	603	2311
207	605	2306
208	607	2300
209	609	2292
210	611	2286
211	612	2277
212	614	2269
213	617	2268
214	620	2264
215	622	2257
216	624	2252
217	626	2246
218	627	2237
219	630	2234
220	632	2228
221	634	2223
222	637	2220
223	639	2215
224	640	2207
225	642	2201
226	645	2198
227	647	2192
228	652	2195
229	653	2187
230	654	2180
231	656	2174
232	658	2167
233	661	2165
234	665	2164
235	666	2158
236	668	2153
237	670	2147
238	672	2140
239	674	2134
240	678	2137
241	680	2132
242	682	2127
243	684	2120
244	685	2113
245	687	2106
246	690	2105
247	692	2100
248	696	2100
249	697	2093
250	699	2086
251	700	2079
252	702	2074
253	705	2071
254	708	2068
255	710	2063
256	712	2061
257	715	2057
258	717	2051
259	718	2046
260	721	2042
261	723	2038
262	725	2031
263	726	2024
264	728	2019
265	729	2013
266	731	2007
267	732	2001
268	736	2001
269	737	1995
270	740	1991
271	741	1985
272	743	1979
273	744	1973
274	746	1967
275	747	1960
276	750	1958
277	752	1953
278	754	1949
279	755	1943
280	757	1937
281	759	1932
282	760	1926
283	761	1920
284	763	1914
285	765	1911
286	767	1905
287	768	1900
288	769	1894
289	771	1888
290	772	1882
291	774	1878
292	776	1872
293	779	1870
294	780	1866
295	782	1860
296	783	1855
297	785	1850
298	786	1844
299	788	1839
300	789	1833
301	791	1828
302	796	1831
303	798	1828
304	800	1824
305	802	1820
306	804	1816
307	806	1811
308	809	1810
309	811	1806
310	813	1801
311	814	1795
312	815	1790
313	817	1785
314	818	1779
315	819	1774
316	821	1769
317	823	1766
318	825	1762
319	827	1757
320	828	1752
321	829	1747
322	831	1742
323	832	1737
324	834	1732
325	836	1728
326	841	1731
327	843	1727
328	845	1724
329	847	1720
330	849	1716
331	851	1713
332	863	1729
333	870	1735
334	872	1732
335	879	1738
336	887	1746
337	890	1743
338	892	1739
339	893	1735
340	895	1730
341	897	1726
342	901	1727
343	903	1723
344	905	1719
345	907	1714
346	908	1710
347	910	1706
348	912	1701
349	915	1700
350	917	1697
351	919	1692
352	921	1688
353	923	1684
354	925	1680
355	927	1677
356	930	1676
357	932	1673
358	934	1668
359	936	1664
360	939	1662
361	941	1658
362	943	1656
363	947	1656
364	952	1657
365	954	1653
366	956	1649
367	958	1645
368	961	1644
369	963	1640
370	965	1637
371	967	1632
372	969	1629
373	970	1624
374	972	1620
375	975	1619
376	977	1615
377	979	1612
378	981	1609
379	983	1605
380	985	1600
381	987	1596
382	990	1595
383	992	1591
384	994	1588
385	996	1584
386	997	1580
387	999	1576
388	1001	1572
389	1003	1569
390	1005	1565
391	1006	1561
392	1008	1558
393	1010	1554
394	1012	1550
395	1013	1546
396	1015	1542
397	1019	1541
398	1021	1539
399	1024	1536
400	1026	1532
401	1028	1529
402	1029	1525
403	1031	1521
404	1035	1521
405	1037	1518
406	1039	1514
407	1040	1510
408	1042	1506
409	1043	1502
410	1045	1498
411	1047	1494
412	1049	1491
413	1051	1487
414	1053	1484
415	1055	1481
416	1057	1478
417	1058	1474
418	1060	1470
419	1065	1470
420	1066	1467
421	1068	1463
422	1069	1459
423	1071	1455
424	1073	1451
425	1074	1447
426	1076	1444
427	1080	1444
428	1082	1440
429	1084	1437
430	1086	1433
431	1087	1430
432	1089	1426
433	1091	1423
434	1094	1421
435	1095	1417
436	1097	1413
437	1099	1410
438	1100	1406
439	1102	1402
440	1103	1398
441	1105	1395
442	1110	1396
443	1112	1393
444	1114	1389
445	1116	1386
446	1117	1382
447	1119	1379
448	1122	1377
449	1124	1374
450	1168	1422
451	1176	1426
452	1179	1424
453	1195	1437
454	1199	1436
455	1206	1438
456	1239	1473
457	1249	1478
458	1312	1547
459	1315	1543
460	1328	1553
461	1330	1549
462	1337	1550
463	1346	1555
464	1348	1551
465	1352	1550
466	1355	1546
467	1357	1543
468	1359	1539
469	1366	1540
470	1413	1587
471	1415	1583
472	1417	1579
473	1419	1574
474	1422	1571
475	1424	1568
476	1432	1570
477	1435	1568
478	1437	1563
479	1439	1559
480	1444	1558
481	1445	1553
482	1447	1549
483	1449	1545
484	1453	1543
485	1455	1539
486	1458	1535
487	1462	1534
488	1464	1530
489	1466	1526
490	1468	1522
491	1469	1517
492	1471	1512
493	1472	1508
494	1473	1503
495	1476	1500
496	1478	1496
497	1480	1492
498	1481	1487
499	1483	1483
500	1484	1478
501	1486	1474
502	1487	1469
503	1491	1467
504	1494	1464
505	1495	1460
506	1497	1456
507	1499	1452
508	1501	1448
509	1503	1444
510	1507	1442
511	1509	1438
512	1511	1434
513	1513	1430
514	1514	1426
515	1515	1421
516	1517	1417
517	1518	1413
518	1520	1409
519	1521	1404
520	1523	1400
521	1524	1396
522	1525	1391
523	1527	1387
524	1528	1383
525	1529	1378
526	1531	1374
527	1534	1371
528	1536	1367
529	1538	1364
530	1539	1359
531	1540	1355
532	1542	1351
533	1544	1347
534	1545	1343
535	1548	1340
536	1549	1336
537	1551	1332
538	1552	1327
539	1553	1323
540	1555	1319
541	1556	1315
542	1558	1311
543	1560	1307
544	1562	1304
545	1563	1300
546	1565	1296
547	1567	1292
548	1569	1289
549	1570	1285
550	1572	1281
551	1574	1277
552	1576	1274
553	1578	1270
554	1579	1266
555	1581	1262
556	1582	1258
557	1583	1254
558	1585	1250
559	1586	1246
560	1589	1244
561	1591	1240
562	1592	1236
563	1594	1232
564	1595	1228
565	1597	1224
566	1598	1220
567	1600	1216
568	1601	1213
569	1604	1210
570	1606	1206
571	1607	1202
572	1609	1199
573	1610	1195
574	1611	1191
575	1613	1187
576	1614	1183
577	1616	1180
578	1619	1177
579	1621	1173
580	1622	1170
581	1625	1167
582	1626	1163
583	1627	1159
584	1629	1155
585	1630	1151
586	1631	1148
587	1634	1145
588	1636	1141
589	1637	1137
590	1639	1134
591	1640	1130
592	1642	1127
593	1643	1123
594	1644	1119
595	1646	1115
596	1649	1113
597	1651	1109
598	1652	1106
599	1654	1102
600	1655	1099
601	1657	1095
602	1658	1091
603	1659	1088
604	1661	1084
605	1664	1082
606	1666	1078
607	1668	1075
608	1670	1072
609	1672	1069
610	1675	1066
611	1676	1063
612	1679	1060
613	1680	1056
614	1682	1053
615	1683	1049
616	1685	1046
617	1686	1042
618	1687	1038
619	1689	1035
620	1692	1033
621	1694	1029
622	1695	1026
623	1697	1022
624	1698	1019
625	1700	1015
626	1701	1012
627	1703	1008
628	1704	1005
629	1707	1003
630	1709	999
631	1710	996
632	1712	992
633	1714	989
634	1715	986
635	1716	982
636	1718	979
637	1719	975
638	1722	973
639	1724	969
640	1726	966
641	1727	963
642	1729	960
643	1731	956
644	1732	953
645	1734	950
646	1737	948
647	1739	944
648	1741	941
649	1742	938
650	1743	934
651	1745	931
652	1746	928
653	1747	924
654	1749	921
655	1752	919
656	1754	916
657	1756	913
658	1758	909
659	1760	906
660	1761	903
661	1766	901
662	1768	899
663	1770	896
664	1775	894
665	1777	891
666	1778	888
667	1780	884
668	1782	881
669	1784	878
670	1786	876
671	1788	873
672	1790	870
673	1799	870
674	1801	867
675	1803	864
676	1805	861
677	1809	859
678	1812	857
679	1815	854
680	1816	851
681	1818	848
682	1820	844
683	1824	842
684	1827	840
685	1829	837
686	1830	834
687	1832	830
688	1833	827
689	1835	824
690	1839	822
691	1841	819
692	1843	816
693	1844	813
694	1846	810
695	1848	807
696	1850	804
697	1856	803
698	1858	800
699	1860	797
700	1862	794
701	1864	791
702	1865	788
703	1867	785
704	1869	782
705	1870	779
706	1872	775
707	1873	772
708	1875	769
709	1877	766
710	1878	763
711	1880	760
712	1882	757
713	1884	754
714	1885	751
715	1886	748
716	1888	745
717	1889	742
718	1891	739
719	1892	735
720	1893	732
721	1895	729
722	1898	727
723	1900	724
724	1901	721
725	1903	718
726	1904	715
727	1906	712
728	1907	709
729	1909	706
730	1910	703
731	1913	700
732	1914	697
733	1915	694
734	1917	691
735	1918	688
736	1920	685
737	1921	682
738	1922	679
739	1923	675
740	1925	673
741	1927	670
742	1929	667
743	1930	664
744	1931	661
745	1933	658
746	1934	655
747	1935	652
748	1937	649
749	1938	646
750	1941	643
751	1943	640
752	1944	637
753	1946	635
754	1948	632
755	1949	629
756	1951	626
757	1952	623
758	1953	620
759	1955	617
760	1957	614
761	1958	611
762	1959	608
763	1961	605
764	1962	602
765	1964	600
766	1965	597
767	1967	594
768	1970	591
769	1972	589
770	1973	586
771	1974	583
772	1976	580
773	1977	577
774	1978	574
775	1980	571
776	1986	570
777	1987	567
778	1989	564
779	1991	561
780	1992	558
781	1994	555
782	1995	553
783	1997	550
784	2000	547
785	2001	544
786	2003	542
787	2004	539
788	2005	536
789	2007	533
790	2008	530
791	2010	527
792	2011	525
793	2014	522
794	2015	519
795	2017	517
796	2018	514
797	2020	511
798	2021	508
799	2022	505
800	2024	503
801	2026	500
802	2030	498
803	2032	495
804	2034	492
805	2035	490
806	2037	487
807	2038	484
808	2040	481
809	2041	478
810	2044	476
811	2046	473
812	2048	471
813	2049	468
814	2050	465
815	2052	462
816	2054	460
817	2055	457
818	2056	454
819	2059	452
820	2061	449
821	2062	446
822	2063	443
823	2065	441
824	2066	438
825	2068	435
826	2069	432
827	2070	430
828	2074	427
829	2076	425
830	2077	422
831	2079	419
832	2080	417
833	2082	414
834	2083	411
835	2084	409
836	2086	406
837	2090	404
838	2091	401
839	2093	398
840	2095	396
841	2096	393
842	2098	390
843	2099	388
844	2100	385
845	2104	383
846	2105	380
847	2107	377
848	2109	375
849	2110	372
850	2111	369
851	2113	367
852	2114	364
853	2115	361
854	2119	359
855	2121	356
856	2122	354
857	2124	351
858	2125	348
859	2126	346
860	2128	343
861	2129	340
862	2130	338
863	2134	335
864	2135	333
865	2137	330
866	2139	328
867	2141	325
868	2143	323
869	2144	320
870	2146	317
871	2151	315
872	2153	313
873	2155	310
874	2157	308
875	2158	305
876	2161	303
877	2163	300
878	2165	298
879	2166	295
880	2168	292
881	2169	290
882	2170	287
883	2172	285
884	2173	282
885	2177	280
886	2179	277
887	2181	275
888	2182	272
889	2184	269
890	2185	267
891	2187	264
892	2188	262
893	2191	259
894	2192	257
895	2194	254
896	2195	252
897	2196	249
898	2198	246
899	2199	244
900	2200	241
901	2202	239
902	2203	236
903	2207	234
904	2208	231
905	2210	229
906	2211	226
907	2212	224
908	2214	221
909	2215	219
910	2217	216
911	2218	214
912	2221	211
913	2223	209
914	2224	206
915	2226	204
916	2227	201
917	2229	199
918	2230	196
919	2231	194
920	2233	191
921	2235	189
922	2236	186
923	2238	184
924	2239	181
925	2240	179
926	2242	176
927	2243	174
928	2245	171
929	2246	169
930	2248	166
931	2250	164
932	2251	161
933	2253	159
934	2254	156
935	2255	154
936	2257	151
937	2258	149
938	2260	146
939	2263	144
940	2265	142
941	2266	139
942	2268	137
943	2269	134
944	2271	132
945	2272	129
946	2274	127
947	2275	124
948	2279	122
949	2280	120
950	2282	117
951	2284	115
952	2285	112
953	2287	110
954	2289	107
955	2291	105
956	2293	103
957	2294	100
958	2296	98
959	2297	95
960	2299	93
961	2301	90
962	2302	88
963	2303	86
964	2306	83
965	2308	81
966	2309	78
967	2310	76
968	2312	73
969	2313	71
970	2315	69
971	2316	66
972	2318	64
973	2319	61
974	2321	59
975	2322	57
976	2324	54
977	2326	52
978	2327	49
979	2328	47
980	2330	45
981	2331	42
982	2334	40
983	2336	37
984	2338	35
985	2339	33
986	2341	30
987	2342	28
988	2343	26
989	2345	23
990	2346	21
991	2349	18
992	2350	16
993	2352	14
994	2353	11
995	2355	9
996	2356	7
997	2357	4
998	2359	2
999	2360	0
